Dish,Calories,Carbs(g),Fat(g),Protein(g),MealType
Eggs_to_go,145,2,0,25,Breakfast
Oats_to_go,141,22,3,18,Breakfast
Overnight_Oats,231,31,9,8,Breakfast
Go_nuts_granola,156,11.8,11.4,3.9,Breakfast
Sweet_Potato_Latkes_with_candied_walnuts,177,20,9,5,Breakfast
Banana_Pancakes,126,8.3,3.3,15.8,Breakfast
Pumpkin_Pie_Pancakes,122,5.5,7,10,Breakfast
Sweet_Potato_Bran_Muffins,151,16.2,6.5,12.5,Breakfast
Breakfast_Casserole,197,6,8.3,24.8,Breakfast
Flourless_Fat-Free_Cheese_Blintzes,55,5.3,0.2,8.8,Breakfast
Crab_Cakes,115,10.2,4,10,Breakfast
Turkey_Breakfast_Sausage,70,0.9,1.4,14,Breakfast
Steak_and_Eggs_Omelet,373,12,14,48,Breakfast
Leek_and_Goat_Cheese_Frittata,142,6.8,7.3,11.5,Breakfast
Smoked_Salmon_Scramble,246,2,10,35,Breakfast
Huevos_Rancheros_Hash_Brown_Skillet,324,25,15,24,Breakfast
Crispy_Rice_Skillet,278,32.1,0.5,33.9,Breakfast
Steamed_Squash_Egg_Custard,268,33.1,0.3,32.7,Breakfast
Breakfast_Hash,292,23,6.6,35,Breakfast
Low_Carb_Pancake,275,13.5,9.8,33.5,Breakfast
Pumped_Up_Protein_Pancake,300,36,3.7,30,Breakfast
Smoked_Salmon_Avocado_Boats,267,5.9,21.1,15.6,Breakfast
Savory_Apple_Sage_Turkey_Sausage,151,6.5,1.1,29.6,Breakfast
Pumpkin_Pie_Bowl,266,30.9,5.9,25.7,Breakfast
Overnight_Mocha_Oats,300,43,5.7,24.2,Breakfast
Baked_Banana_and_Oat_bars,281,34.6,2.7,30.1,Breakfast
Southern_Breakfast_Casserole,337,35.7,3.7,37.5,Breakfast
Keto_Breakfast_Burritos,318,2.2,20.5,29.7,Breakfast
Crustless_Quiche,196,11.2,4.1,29.1,Breakfast
Savory_breakfast_Oatmeal,275,27,3,34,Breakfast
Canadian_Bacona_and_Egg_Cups,264,2.8,12.6,34.6,Breakfast
Cottage_cheese_and_cantaloup_bowl,314,32,6.7,31.9,Breakfast
Chicken_and_polenta_breakfast_pizza,295,33.1,3.2,30.1,Breakfast
Blueberry_Muffins,135,14.1,5.2,8.7,Breakfast
Break-the-Fast_Skillet,225,30.6,0.3,23.1,Breakfast
Steak_and_Egg_Burrito,276,3,16.25,26.5,Breakfast
Turky_meatballs_with_marinara_sauce,117,11.9,1.3,14.4,Main
Crispy_chicken_with_sweet_mustard_dip,169,7,3.7,24,Main
Pulled_chicken,120,3,1,22,Main
Turkey_Satay_skewer,100,0,1,22,Main
Noodleless_turkey_lasagna,202,20.7,1.5,31.2,Main
Turkey_burger_on_an_eggplant_bun,149,11,5.6,15.5,Main
Turkey_Stir-fry,175,16,1.4,24.2,Main
Honey_mushroom_chicken,168,11.3,1.8,27.3,Main
Mom's_Herb_Chicken,164,0.8,6,26,Main
Spicy_Latin_libe_chicken,120,0,1.5,26,Main
Turkey_stroganoff,174,9.5,1,33.5,Main
Whole_roasted_chicken,200,1.3,12,22.7,Main
kung_pow_chickn,200,6.3,7,27.3,Main
chicken_tortilla_soup,325,39.5,3,34.8,Main
Oven_roasted_turkey_breast,131,0,2.2,24.3,Main
Superfood_chicken_soup,179,18.4,1.8,23.5,Main
peanut_chicken,144,3.4,2.5,28.6,Main
Chicken_and_Veggie_wonder_dish,275,27.8,4,30.7,Main
Grilled_lemon_chicken,141,0.5,3.9,26,Main
turkey_lettuce_wraps,100,7.5,1.5,15,Main
Mandarin_Chicken,231,27.5,1.5,27,Main
Curry_chicken_cauliflower_rice,284,20,9.8,31.8,Main
Orange_Infused_Chai_Chicken,137,4,2,26,Main
Tom_Kha_Gai,206,2,10,27.3,Main
Roasted_Garlic_stuffed_Italian_Baked_Chicken,172,8.1,1.5,30.8,Main
Cabbage_Rolls,153,7.5,1,29.4,Main
Grilled_Marinated_Steak,170,0,8.3,24,Main
Garlis_and_Rosemary_Grilled_T-Bone,223,0,10.1,30.9,Main
Eye_Round_Steak,161,0,6.3,25,Main
Steak_and_Vegetable_Soup,181,18.5,5.2,15.8,Main
15_Minute_Beef_Chili,236,27.4,3.8,23.6,Main
Sloppy_Joes,193,18.4,4.8,20,Main
Apples_and_Oats_Meatloaf,235,17.5,7,26,Main
Pot_Roast,220,4.8,7,31,Main
Slow_Cooker_Beef_Stew,269,18.8,8.1,28.9,Main
High_Heat_Eye_of_Round_Roast,185,0,5,34,Main
Puerto_Rican_Bistex_Encebollao,259,5.8,24.6,24.2,Main
Salisbury_Steak_with_Mushroom_and_Onion_Gravy,170,3,6.9,24.9,Main
Persian_Beef_Kebabs,152,1.2,4,25,Main
Suffed_Bell_Peppers,316,17.8,14.8,28.8,Main
Orange_Beef,245,11,12,23.25,Main
Mexican_Carnitas,205,0.5,11,26,Main
Mustard-Crusted_Pork_Tenderloin,151,8,2.5,24,Main
Asian_Pork_Roast,110,0,3,22,Main
Pan_Seared_Spicy_Garlic-Ginger_Pork_Tenderloin,128,3.8,3.1,24,Main
Almost-Crusted_Pork_Cutlets,295,4,19,30,Main
Ham_and_Bean_Soup,226,22.3,5.1,22.6,Main
Pork_and_Mixed_Vegetable_Stir-Fry,181,12.8,2.8,25.8,Main
Pork_Chile_Verde,163,7.5,2.5,24.5,Main
Hawaiian_Style_Pokr_and_PineApple_Skewers,179,13,2.7,24.4,Main
Fennel_Crusted_Roast_Pork_Tenderloin,120,0,2.5,23,Main
Coffee_Rubed_Roast_Pork_Tenderloin,129,1.8,2.5,23,Main
Garlic_and_herb_shrimp,130,4,3.9,20,Main
Shrimp_Creole,168,11.8,3,22.3,Main
Coconut_shrimp_with_sweet_and_sour_dipping_sauce,168,8.7,3.5,22.2,Main
Honey_garlic_shrimp,193,17.3,4.5,20,Main
Shrimp_Ceviche,151,10.8,3,21,Main
Cioppino,226,11.8,5.1,31.1,Main
Coconut_seared_scallops_with_wilted_spinach,277,12,16,25,Main
Scallop_stir_fry,171,22,2.8,15.8,Main
Maple_and_mustard_baked_scallops,125,10,1,17,Main
tuna_salad,285,7,8,48,Main
tuna_melt-stuffed_tomatoes,189,10,4,31,Main
Amonst-Crusted_Baked_Cod,245,3,9.5,36.5,Main
Salmon-Quinoa_Cakes,160,14.5,5.7,13,Main
Grilled_Calamari_steaks_with_mediterranean_topping,261,7,15,27.5,Main
"""Parmesan""-Crusted_Tilapia",250,6,8,38,Main
Crab-Stuffed_Mushrooms,121,5,3.5,17.5,Main
Grilled_Ono_with_Mango-Pineapple_Salsa,216,9,6.3,29.8,Main
Broiled_Salmon_with_Indian_Spices,150,3,1.5,31.5,Main
Grilled_Balsamic_and_Rosemary_Salmon,117,3,2,21,Main
Mahimahi_tacos_with_Cilantro-Lime_Crema,159,10.8,4.9,17.8,Main
Stuffed_Florentine_Chicken_Breasts,193,7,5,30,Main
Bison_and_Protobello_Sliders,212,9.1,9,27,Main
Chili_Lime_Salmon_Pouches,165,0,7.2,25,Main
Pan-Seared_Chicken_breasts,140,0,3,27,Main
Apple-Roasted_While_Chicken,151,0,4.2,26.4,Main
Ginger_Soy_Shrimp_Skewers,119,2,1.3,23.9,Main
Sriracha_Curry_Coconut_Chicken,159,2.6,4.8,25.4,Main
Broiled_Cod_with_charred_Tomatillo_Salsa,137,3.6,1.3,25.9,Main
Chicken_Hobo_Dinner_,173,8.3,3,26.9,Main
Spicy_Stuffed_Peppers,239,18.2,9.6,23.9,Main
Broiled_Greek_Chciken_Kabobs,145,1.7,3.1,25.9,Main
Almond-Crusted_Mustard_Chicken,278,5.1,13.8,34,Main
Broth-Poached_Snapper_with_Broccoli,194,9.3,2.5,34.4,Main
Slow_Cooker_BBQ_Pulled_Chicken,152,2.2,3,26.8,Main
Spicy_Salmon_Burgers,179,5.2,4.5,29.7,Main
Reverse_Seared_Sirloin_Steak,229,0,9.1,34.4,Main
Vietnamese_Style_Pork_Tenderloin,233,1.1,9.3,33.7,Main
Tex-Mex_Fajitas,299,26.5,8.6,27.9,Main
Slow_Cooker_pork_Roast,192,3.9,6.5,27.7,Main
Coffee_Rubbed_Steak,150,0,4.4,25.8,Main
Ridiculously_easy_pork_roll-Ups,261,2.9,10.9,36,Main
Grilled_Jerk_Chicken_Breasts,145,0.8,3.1,26.8,Main
Grilled_Southwester_Pork_Medallions,186,0,5.5,31.9,Main
Southwester_Chicken_street_Tacos,260,24.7,4.6,28.1,Main
Slow_Cooker_Rosemary_Pot_Roast,222,1.4,12,25,Main
Chicken_Cacciatore,161,4.2,4.2,26,Main
Whie_Chicken_Chili,221,12.4,3.6,33.1,Main
Muscle_Building_Meatloaf,232,5.2,13.7,24.6,Main
Spaghetti_Squash_and_Meatball_Boats,180,12.8,1.7,30.6,Main
Ginger_Beef_and_Bok_Choy_Stir_Fry,242,2.8,9.1,35.7,Main
Meatza,167,4.8,2.8,29.8,Main
Coconut_Curry_Shrimp,124,1.5,2.3,23.7,Main
Blackened_Baked_Tilapia,146,0,2.7,32,Main
Cucumber_Salad,28,6.7,0,1,Side
Chicken_Waldorf_Salad,265,17.6,9.2,29.9,Side
Brussels_Sprout_and_Berries_Sald,209,23,12,3,Side
Salmon_Salad,174,1.2,7.5,26.3,Side
Citrus-Beet_Salad_with_Toasted_Walnuts,130,23,3,4,Side
Honey-Dijon_Kale_Salad,262,32.2,15.2,5.2,Side
Spinach_Caprese_Salad,181,8,12,18,Side
Mediterranean_Bean_Salad,141,18.4,6.3,6.1,Side
Southwestern_salad_with_pulled_chicken_and_Cilantro-Lime_dressing,477,26,21,51,Side
Thai_Peanut_Salad,246,50,1,16,Side
Curry_Quinoa_Salad,168,28.3,2.6,8.3,Side
Garlicky_Roasted_Brussel_Sprouts,67.5,10.6,1,6.3,Side
Zucchini_Fritters,60,7.9,3.2,4.5,Side
Savory_Roasted_Cauliflower,33,7,0,2.7,Side
Protein_Mashed_Potatoes,132,19.8,4.5,3.8,Side
Sauteed_Red_Cabbage_with_Honey_and_Mustard_seeds,65,11.4,1.9,1.8,Side
Forbidden_Fried_Rice,151,25,5.5,3.6,Side
Ful_medames,107,11.6,0.5,6,Side
Coleslaw,50,7.7,2.2,1.4,Side
Quinoa_with_mushrooms_and_spinach,200,32,4.6,7.8,Side
Roasted_Sweets_and_Beets,149,29.2,3,2.6,Side
Chunky_Apple_Sauce,50,10.3,1.3,0.2,Side
Stir-fried_Broccoli_with_Garlic,50,7.7,2.2,1.4,Side
Beets_and_Green_breans,46,7.3,1.7,1.5,Side
Sweet_Potato_Fries_with_rosemary,125,18.2,5.4,1.4,Side
Creamy_Cucumber_Salad,44,7,0,4.7,Side
Spinach_and_Spaghetti_Squash_Souffle,59,5.3,2.8,6.7,Side
Roasted_Sweet_Potato_Medallions,150,33,0,5,Side
Coconut_Cayenne_Smashed_Sweet_Potatoes,139,31.7,0.7,2.1,Side
Hasselback_Sweet_Potatoes,151,34,0.4,3.3,Side
Spicy_Black_Beans_and_Quinoa,154,28.5,2.4,5.6,Side
Carb_Cutter_Twice-baked_Potatoes,118,24.5,1.2,4.4,Side
Baked_Zucchini_Fries,74,5.1,3.3,7.7,Side
Curried_Rice_Pilaf,179,35.7,1.6,4,Side
"Cauliflower_""Fried_Rice""",71,13.1,0.4,5.9,Side
Fluffy_Basmati_Rice,170,33.4,2,3.2,Side
Roasted_Cabbage_Steak,38,8.2,0.4,2.2,Side
Cloud_Bread,119,1.5,8.1,8.3,Side
Her-Roasted_Vegetables,45,9.4,0.2,1.8,Side
Zesty_Zoodles,44,7.6,1.1,1.2,Side
Rosemary_Beefsteak_Tomatoes,26,5.7,0.1,1,Side
Citrus_Kale_Salad,43,5.3,1.4,1.6,Side
Wilted_Spinach_and_Cherry_Tomato_Salad,23,2.5,0.3,2.5,Side
Fresh_Veggie_Stir_Fry,34,6,0.2,3,Side
Guacamole_Deviled_Eggs,192,3.3,14,13.2,Side
Roasted_Brussels_Sprouts_and_Fennel,46,9.7,0.3,3.3,Side
Lemony_Grilled_Asparagus,42,9.3,0.3,3.7,Side
Snappy_Ginger_Green_Beans,66,9,2.2,2.8,Side
Crunchy_Avocado_Salad,183,9.3,16.9,2,Side
Raspberry_Sorbet,85,17,2,2,Dessert
Chocolat-Chia_Mouse,70,5.1,4.4,4.5,Dessert
"Greek_Yogurt_""CheeseCake_with_Chocolate_Protein_crumb_crust",145,5.9,8.8,13.2,Dessert
Perfect_Pumpkin_Pie,215,18,10.7,12.9,Dessert
Sugar-and-Gluten_free_Peanut_Butter_Cookies,98,3.6,8,4.3,Dessert
Protein_Pumpkin_Spice_Cookies,25,1.2,0.6,1.2,Dessert
Apple_pie_pockets,118,12.7,7,3.2,Dessert
Coconut_macaroons,38,2,3,1.2,Dessert
Key_Lime_protein_Pie,100,6.3,2.4,14,Dessert
Protein_Pineapple_jell-O_Dessert,69,6.5,0.6,9.2,Dessert
German_Chocolate-Black_Bean_cake,199,28.9,8.3,11,Dessert
Chocolate_Protein_Mug_cake_with_whipped_Peanut_Butter_Frosting,124,8.2,3.7,17.1,Dessert
Choco-Cado_Mousse,142,7,12,3,Dessert
Egg_White_Custards,135,6,3.8,18.5,Dessert
Gains_Glazed_Donuts,237,14.3,5.8,31.3,Dessert
Savory_Rosemary_Almond_Bars,269,7.4,22.3,14,Snack
Pumpkin_and_Oat_Bars,153,24.7,0.5,11.9,Snack
No-Bake_Almond_and_Oats_Bars,215,17.3,10,14.3,Snack
Lean_Rice_Crispy_Treats,183,20,8.4,8.6,Snack
Quick_and_Easy_Egg_Bites,136,3.7,0.1,28.6,Snack
Grilled_Balsamic_Melon_and_Cheese,260,28.1,3.7,30,Snack
Greek_Yogurt_Hummus,152,26.2,2,8.5,Snack
No-Bake_Cocoa_and_Oats_bars,235,21.3,7.1,28.1,Snack
Paleo_protein_crackers,220,9.2,17.7,9.3,Snack
Chocolate_Protein_snack_mug,190,9.2,2.1,34.3,Snack
Zesty_Tuna_Snack_bowl,194,7.1,1.8,37.3,Snack
Turkey_and_Veggie_Roll-Up,160,11.4,1.4,26.3,Snack
Baked_Cheeseburger_Bites,242,3.1,13,28.3,Snack
Cinnamon_and_sugar_shake,160,9,2.2,26.5,Shake
Banana_Nut_Muffin_Shake,312,28,9,30,Shake
Wild_Berry_Smoothie,216,17,1,37,Shake
Protein_pumpkin_spice_latte,120,4,0,24,Shake
Protein_Pina_Colada,296,29,10,27,Shake
Protein_Horchata,150,19,5,25,Shake
Peaches_an_Cream_Shake,180,19,5,25,Shake
The_Big_Green_Smoothie,289,44,1,29,Shake
Strawberry_Cheesecake_Shake,212,19,2,33,Shake
Peanut_Butter_Nutella_Shake,154,6,0,33,Shake
Blueberries_and_Beets_smoothie,353,58,5,28,Shake
Nuts_about_honey_shake,349,39,10,27,Shake
Root_beer_float_shake,292,17,13,30,Shake
Blueberry_Muffin_Shake,278,30,6,30,Shake
Orange_Creamsicle_Shake,230,20,5,26,Shake
Carrot_Cake_Shake,290,37.2,1.7,33.4,Shake
Elvis_Shake,260,23,4.9,34.1,Shake
Golden_Milk_Shake,294,11,13.8,34,Shake
Key_Lime_Shake,222,14.1,4.6,31.9,Shake
Blueberry_Cheesecake_Shake,266,32,1.3,32.5,Shake
Orange_Creamsicle_Shake,247,26.9,1.3,32.7,Shake
Coco-Choco_Almond_Shake,328,9.5,20.9,30.6,Shake
Hulk_Shake,259,31.2,3.1,29,Shake
Oatmeal_Raisin_Cookie_Shake,277,34.8,2.9,29.1,Shake
Raspberry_Orange_Shake,230,20,5,26,Shake
Snickerdoodle_bars,195,8.5,11,16.8,Snack
Tropical_Island_Crunch_Bars,300,24.4,18.8,11.5,Snack
Oatmeal_cookie_bars,143,14.3,7.3,16.9,Snack
Peanut_Butter_and_Maple_Balls,195,26.2,7.8,8,Snack
Almond_Butter_and_Honey_Crisps,250,25.6,11.8,11.7,Snack
Chewy_Gooey_Fudge_Bars,166,27.7,6.1,4.9,Snack
Chewy_Apple_Turnover_Bars,226,38,9.2,3,Snack
Chocolate_Peanut_Butter_Crispy_Bars,186,22.8,6.1,12.2,Snack
Chewy_Sweet_Cinnamon_bars,208,35,7.8,3.8,Snack
Chewyy_Coconut_bars,225,36.1,9.5,4.1,Snack
Dark_chocolate_raspberry_truffle_bars,131,9.2,8,8.2,Snack
Banana_bread_bars,120,5.6,7.7,9.6,Snack
Lemon_bar_cookies,195,9,11,17,Snack
Peanut_butter_Cup_Bars,130,10,3.8,18,Snack
Strawberry_Cheesecake_Bars,205,9.8,11,16.8,Snack
